cmd:0x04 | len:8 | payload:03 00 00 00 CF C3 7B 05
cmd:0x04 | len:8 | payload:01 00 00 00 14 00 8B 05
cmd:0x04 | len:8 | payload:02 00 00 00 19 06 8B 05
cmd:0x04 | len:8 | payload:03 00 00 00 EE 05 8B 05
cmd:0x04 | len:8 | payload:02 00 00 00 3A 48 9A 05
cmd:0x04 | len:8 | payload:01 00 00 00 25 42 9A 05
cmd:0x04 | len:8 | payload:03 00 00 00 0F 48 9A 05
cmd:0x04 | len:8 | payload:01 00 00 00 39 84 A9 05
cmd:0x04 | len:8 | payload:02 00 00 00 5E 8A A9 05
cmd:0x04 | len:8 | payload:03 00 00 00 33 8A A9 05
cmd:0x04 | len:8 | payload:01 00 00 00 47 C6 B8 05
cmd:0x04 | len:8 | payload:02 00 00 00 7D CC B8 05
cmd:0x04 | len:8 | payload:03 00 00 00 51 CC B8 05
cmd:0x04 | len:8 | payload:01 00 00 00 59 08 C8 05
cmd:0x04 | len:8 | payload:02 00 00 00 9F 0E C8 05
cmd:0x04 | len:8 | payload:03 00 00 00 73 0E C8 05
cmd:0x04 | len:8 | payload:03 00 00 00 93 50 D7 05
cmd:0x04 | len:8 | payload:01 00 00 00 69 4A D7 05
cmd:0x04 | len:8 | payload:02 00 00 00 C0 50 D7 05
cmd:0x04 | len:8 | payload:02 00 00 00 E0 92 E6 05
cmd:0x04 | len:8 | payload:01 00 00 00 78 8C E6 05
cmd:0x04 | len:8 | payload:03 00 00 00 B3 92 E6 05
cmd:0x04 | len:8 | payload:01 00 00 00 8A CE F5 05
cmd:0x04 | len:8 | payload:02 00 00 00 03 D5 F5 05
cmd:0x04 | len:8 | payload:03 00 00 00 D5 D4 F5 05
cmd:0x04 | len:8 | payload:01 00 00 00 96 10 05 06
cmd:0x04 | len:8 | payload:02 00 00 00 1F 17 05 06
cmd:0x04 | len:8 | payload:03 00 00 00 F1 16 05 06
cmd:0x04 | len:8 | payload:01 00 00 00 A7 52 14 06
cmd:0x04 | len:8 | payload:02 00 00 00 41 59 14 06
cmd:0x04 | len:8 | payload:03 00 00 00 12 59 14 06
cmd:0x04 | len:8 | payload:02 00 00 00 5E 9B 23 06
cmd:0x04 | len:8 | payload:01 00 00 00 B4 94 23 06
cmd:0x04 | len:8 | payload:03 00 00 00 2F 9B 23 06
cmd:0x04 | len:8 | payload:01 00 00 00 C2 D6 32 06
cmd:0x04 | len:8 | payload:02 00 00 00 7D DD 32 06
cmd:0x04 | len:8 | payload:03 00 00 00 4D DD 32 06
cmd:0x04 | len:8 | payload:01 00 00 00 CA 18 42 06
cmd:0x04 | len:8 | payload:02 00 00 00 95 1F 42 06
cmd:0x04 | len:8 | payload:03 00 00 00 65 1F 42 06
cmd:0x04 | len:8 | payload:01 00 00 00 D9 5A 51 06
cmd:0x04 | len:8 | payload:02 00 00 00 B5 61 51 06
cmd:0x04 | len:8 | payload:03 00 00 00 84 61 51 06
cmd:0x04 | len:8 | payload:01 00 00 00 E8 9C 60 06
cmd:0x04 | len:8 | payload:02 00 00 00 D4 A3 60 06
cmd:0x04 | len:8 | payload:03 00 00 00 A3 A3 60 06
cmd:0x04 | len:8 | payload:02 00 00 00 F5 E5 6F 06
cmd:0x04 | len:8 | payload:01 00 00 00 F8 DE 6F 06
cmd:0x04 | len:8 | payload:03 00 00 00 C4 E5 6F 06
cmd:0x04 | len:8 | payload:02 00 00 00 15 28 7F 06
cmd:0x04 | len:8 | payload:01 00 00 00 08 21 7F 06
cmd:0x04 | len:8 | payload:03 00 00 00 E3 27 7F 06
cmd:0x04 | len:8 | payload:02 00 00 00 36 6A 8E 06
cmd:0x04 | len:8 | payload:01 00 00 00 18 63 8E 06
cmd:0x04 | len:8 | payload:03 00 00 00 03 6A 8E 06
cmd:0x04 | len:8 | payload:01 00 00 00 2A A5 9D 06
cmd:0x04 | len:8 | payload:02 00 00 00 58 AC 9D 06
cmd:0x04 | len:8 | payload:03 00 00 00 25 AC 9D 06
cmd:0x04 | len:8 | payload:03 00 00 00 45 EE AC 06
cmd:0x04 | len:8 | payload:01 00 00 00 38 E7 AC 06
cmd:0x04 | len:8 | payload:02 00 00 00 78 EE AC 06
cmd:0x04 | len:8 | payload:01 00 00 00 49 29 BC 06
cmd:0x04 | len:8 | payload:02 00 00 00 99 30 BC 06
cmd:0x04 | len:8 | payload:03 00 00 00 66 30 BC 06
cmd:0x04 | len:8 | payload:02 00 00 00 BB 72 CB 06
cmd:0x04 | len:8 | payload:01 00 00 00 5A 6B CB 06
cmd:0x04 | len:8 | payload:03 00 00 00 87 72 CB 06
cmd:0x04 | len:8 | payload:01 00 00 00 6A AD DA 06
cmd:0x04 | len:8 | payload:02 00 00 00 DC B4 DA 06
cmd:0x04 | len:8 | payload:03 00 00 00 A7 B4 DA 06
cmd:0x04 | len:8 | payload:01 00 00 00 7C EF E9 06
cmd:0x04 | len:8 | payload:02 00 00 00 FE F6 E9 06
cmd:0x04 | len:8 | payload:03 00 00 00 C9 F6 E9 06
cmd:0x04 | len:8 | payload:01 00 00 00 89 31 F9 06
cmd:0x04 | len:8 | payload:02 00 00 00 1C 39 F9 06
cmd:0x04 | len:8 | payload:03 00 00 00 E6 38 F9 06
cmd:0x04 | len:8 | payload:02 00 00 00 3F 7B 08 07
cmd:0x04 | len:8 | payload:01 00 00 00 9C 73 08 07
cmd:0x04 | len:8 | payload:03 00 00 00 09 7B 08 07
cmd:0x04 | len:8 | payload:03 00 00 00 28 BD 17 07
cmd:0x04 | len:8 | payload:01 00 00 00 AB B5 17 07
cmd:0x04 | len:8 | payload:02 00 00 00 5F BD 17 07
cmd:0x04 | len:8 | payload:01 00 00 00 BE F7 26 07
cmd:0x04 | len:8 | payload:02 00 00 00 82 FF 26 07
cmd:0x04 | len:8 | payload:03 00 00 00 4B FF 26 07
cmd:0x04 | len:8 | payload:01 00 00 00 D1 39 36 07
cmd:0x04 | len:8 | payload:02 00 00 00 A5 41 36 07
cmd:0x04 | len:8 | payload:03 00 00 00 6E 41 36 07
cmd:0x04 | len:8 | payload:01 00 00 00 E1 7B 45 07
cmd:0x04 | len:8 | payload:02 00 00 00 C6 83 45 07
cmd:0x04 | len:8 | payload:03 00 00 00 8E 83 45 07
cmd:0x04 | len:8 | payload:02 00 00 00 E8 C5 54 07
cmd:0x04 | len:8 | payload:01 00 00 00 F2 BD 54 07
cmd:0x04 | len:8 | payload:03 00 00 00 AF C5 54 07
cmd:0x04 | len:8 | payload:01 00 00 00 FF FF 63 07
cmd:0x04 | len:8 | payload:02 00 00 00 05 08 64 07
cmd:0x04 | len:8 | payload:03 00 00 00 CC 07 64 07
cmd:0x04 | len:8 | payload:01 00 00 00 11 42 73 07
cmd:0x04 | len:8 | payload:02 00 00 00 28 4A 73 07
cmd:0x04 | len:8 | payload:03 00 00 00 EF 49 73 07
cmd:0x04 | len:8 | payload:03 00 00 00 11 8C 82 07
cmd:0x04 | len:8 | payload:01 00 00 00 23 84 82 07
cmd:0x04 | len:8 | payload:02 00 00 00 4A 8C 82 07
cmd:0x04 | len:8 | payload:03 00 00 00 30 CE 91 07
cmd:0x04 | len:8 | payload:01 00 00 00 32 C6 91 07
cmd:0x04 | len:8 | payload:02 00 00 00 6A CE 91 07
cmd:0x04 | len:8 | payload:01 00 00 00 42 08 A1 07
cmd:0x04 | len:8 | payload:02 00 00 00 8B 10 A1 07
